CELL	BSC	LAI	CI	BCCH	BSIC	
JDKXGL3	JMSM1B1	9859	30133	526	31	
JDKXLY1	JMSM1B1	9859	30711	530	51	
JDKXLY2	JMSM1B1	9859	30712	527	52	
JDKXLY3	JMSM1B1	9859	30713	512	40	
JDKXSY1	JMSM1B1	9859	30201	534	53	
JDKXSY2	JMSM1B1	9859	30202	523	14	
JDKXSY3	JMSM1B1	9859	30203	519	15	
JDKYHC1	JMSM1B1	9859	30121	535	34	
JDKYHC2	JMSM1B1	9859	30122	516	42	
JDKYHC3	JMSM1B1	9859	30123	525	54	
JDKZHE1	JMSM1B1	9859	20371	533	37	
JDKZHE2	JMSM1B1	9859	20372	520	33	
JDKZHE3	JMSM1B1	9859	20373	525	42	
JMJK119	JMSM1B1	9859	10000	9	30	
JMJLLZ1	JMSM1B1	9859	20081	33	63	
JMJLLZ2	JMSM1B1	9859	20082	35	10	
JMJLLZ3	JMSM1B1	9859	20083	44	77	
JMJXBL1	JMSM1B1	9859	21101	33	20	
JMJXBL2	JMSM1B1	9859	21102	35	55	
JMJXBL3	JMSM1B1	9859	21103	52	37	
JMJYNC1	JMSM1B1	9859	23791	48	61	
JMJYNC2	JMSM1B1	9859	23792	34	46	
JMJYNC3	JMSM1B1	9859	23793	42	74	
JMJYNC8	JMSM1B1	9859	23798	51	55	
JMJZDG1	JMSM1B1	9859	62921	43	72	
JMJZDG2	JMSM1B1	9859	62922	45	15	
JMJZDG3	JMSM1B1	9859	20403	53	66	
JMJZDG9	JMSM1B1	9859	62929	38	52	
JMKBDJ9	JMSM1B1	9859	20029	34	70	
JMKBJY1	JMSM1B1	9859	20041	42	57	
JMKBJY2	JMSM1B1	9859	20042	53	47	
JMKBJY3	JMSM1B1	9859	20043	48	34	
JMKBJZ1	JMSM1B1	9859	26001	40	16	
JMKBJZ2	JMSM1B1	9859	26002	36	37	
JMKBJZ3	JMSM1B1	9859	26003	56	51	
JMKCSA1	JMSM1B1	9859	25291	49	22	
JMKCSA2	JMSM1B1	9859	25292	39	43	
JMKCSA3	JMSM1B1	9859	25293	42	65	
JMKDDE1	JMSM1B1	9859	21301	47	14	
JMKDDE2	JMSM1B1	9859	21302	35	35	
JMKDDE3	JMSM1B1	9859	21303	43	27	
JMKDHE1	JMSM1B1	9859	23001	33	25	
JMKDHE2	JMSM1B1	9859	23002	50	16	
JMKDHE3	JMSM1B1	9859	23003	56	32	
JMKDHI1	JMSM1B1	9859	20101	35	46	
JMKDHI2	JMSM1B1	9859	20102	39	45	
JMKDHI3	JMSM1B1	9859	20103	46	44	
JMKDJL1	JMSM1B1	9859	21281	33	50	
JMKDJL2	JMSM1B1	9859	21282	53	26	
JMKDJL3	JMSM1B1	9859	21283	37	66	
JMKDLC1	JMSM1B1	9859	22001	33	17	
JMKDLC2	JMSM1B1	9859	22002	46	42	
JMKDLC3	JMSM1B1	9859	22003	41	51	
JMKDSJ1	JMSM1B1	9859	22011	36	12	
JMKDSJ2	JMSM1B1	9859	22012	39	62	
JMKDSJ3	JMSM1B1	9859	22013	53	70	
JMKFZM1	JMSM1B1	9859	20521	50	36	
JMKFZM2	JMSM1B1	9859	20522	33	41	
JMKFZM3	JMSM1B1	9859	20523	37	11	
JMKGAJ1	JMSM1B1	9859	23011	56	12	
JMKGAJ2	JMSM1B1	9859	23012	51	45	
JMKGAJ3	JMSM1B1	9859	23013	48	12	
JMKGFZ9	JMSM1B1	9859	25319	48	47	
JMKGML1	JMSM1B1	9859	25301	33	55	
JMKGML2	JMSM1B1	9859	25302	50	36	
JMKGML3	JMSM1B1	9859	25303	35	75	
JMKHQO1	JMSM1B1	9859	23021	45	30	
JMKHQO2	JMSM1B1	9859	23022	37	20	
JMKHQO3	JMSM1B1	9859	23023	31	57	
JMKHSD1	JMSM1B1	9859	22021	52	20	
JMKHSD2	JMSM1B1	9859	22022	44	11	
JMKHSD3	JMSM1B1	9859	22023	41	76	
JMKJLN1	JMSM1B1	9859	25361	34	21	
JMKJLN2	JMSM1B1	9859	25362	32	67	
JMKJLN3	JMSM1B1	9859	25363	44	54	
JMKJRJ1	JMSM1B1	9859	22031	32	52	
JMKJRJ2	JMSM1B1	9859	22032	49	13	
JMKJYJ1	JMSM1B1	9859	25321	51	33	
JMKJYJ2	JMSM1B1	9859	25322	54	10	
JMKJYJ3	JMSM1B1	9859	25323	48	25	
JMKJZG1	JMSM1B1	9859	26011	38	14	
