MSC	BSC	CELL	bts	lac	ci	BCCH	BSIC	Cell_name	bts_name	longitude	latitude	dir	height	tilt	ground_height	ant_bw	ant_size	band	tch	载波数
GZS06V	JMSM1B2	JMTDJG1	JMTDJG	9860	20141	37	57	台山大江1	台山大江1	112.8051	22.370833	70	0	8	0				34	5
GZS06V	JMSM1B2	JMTDJG2	JMTDJG	9860	20142	39	22	台山大江2	台山大江2	112.8051	22.370833	240	0	3	0				72	11
GZS06V	JMSM1B2	JMTDJG3	JMTDJG	9860	20143	44	53	台山大江3	台山大江3	112.8051	22.370833	320	0	4	0				65	10
GZS06V	JMSM1B2	JMTDLA1	JMTDLA	9860	30041	32	30	台山来安1	台山来安1	112.7843	22.3752	40	0	5	0				29	4
GZS06V	JMSM1B2	JMTDLA2	JMTDLA	9860	30042	55	57	台山来安2	台山来安2	112.7843	22.3752	180	0	6	0				29	4
GZS06V	JMSM1B2	JMTDLA3	JMTDLA	9860	30043	41	30	台山来安3	台山来安3	112.7843	22.3752	300	0	6	0				29	4
GZS06V	JMSM1B2	JMTDTG1	JMTDTG	9860	20811	47	71	台山四九大塘1	台山四九大塘1	112.84706	22.19381	20	0	4	0				27	4
GZS06V	JMSM1B2	JMTDTG2	JMTDTG	9860	20812	45	71	台山四九大塘2	台山四九大塘2	112.84706	22.19381	130	0	3	0				45	6
GZS06V	JMSM1B2	JMTDTG3	JMTDTG	9860	20813	41	63	台山四九大塘3	台山四九大塘3	112.84706	22.19381	260	0	4	0				30	4
GZS06V	JMSM1B2	JMTDTO1	JMTDTO	9860	20161	43	75	台山东头1	台山东头1	112.772222	22.418611	25	0	4	0				40	6
GZS06V	JMSM1B2	JMTDTO2	JMTDTO	9860	20162	37	21	台山东头2	台山东头2	112.772222	22.418611	160	0	8	0				55	8
GZS06V	JMSM1B2	JMTDTO3	JMTDTO	9860	20163	41	42	台山东头3	台山东头3	112.772222	22.418611	310	0	8	0				35	5
GZS06V	JMSM1B2	JMTDTU1	JMTDTU	9860	20171	56	22	台山渡头1	台山渡头1	112.779167	22.399444	80	0	3	0				41	6
GZS06V	JMSM1B2	JMTDTU2	JMTDTU	9860	20172	49	63	台山渡头2	台山渡头2	112.779167	22.399444	275	0	10	0				21	3
GZS06V	JMSM1B2	JMTDTU3	JMTDTU	9860	20173	53	41	台山渡头3	台山渡头3	112.779167	22.399444	340	0	8	0				43	6
GZS06V	JMSM1B2	JMTFHG1	JMTFHG	9860	23631	35	36	台山富华重工1	台山富华重工1	112.8103	22.31318	60	0	6	0				13	2
GZS06V	JMSM1B2	JMTFHG2	JMTFHG	9860	23632	52	10	台山富华重工2	台山富华重工2	112.8103	22.31318	210	0	8	0				30	4
GZS06V	JMSM1B2	JMTFHG3	JMTFHG	9860	23633	38	36	台山富华重工3	台山富华重工3	112.8103	22.31318	300	0	6	0				29	4
GZS06V	JMSM1B2	JMTGDL9	JMTGDL	9860	20199	34	56	台山古兜林场M9	台山古兜林场M9	112.918611	22.230556	170	0	2002-2-2	0				14	2
GZS06V	JMSM1B2	JMTGDS1	JMTGDS	9860	20181	38	65	台山古兜山1	台山古兜山1	112.918611	22.230556	10	0	2003-9-6	0				13	2
GZS06V	JMSM1B2	JMTGDS2	JMTGDS	9860	20182	52	33	台山古兜山2	台山古兜山2	112.918611	22.230556	100	0	6	0				6	1
GZS06V	JMSM1B2	JMTGTN1	JMTGTN	9860	23621	31	65	台山灌田1	台山灌田1	112.76703	22.33503	0	0	3	0				26	4
GZS06V	JMSM1B2	JMTGTN2	JMTGTN	9860	23622	46	63	台山灌田2	台山灌田2	112.76703	22.33503	180	0	3	0				29	4
GZS06V	JMSM1B2	JMTGTN3	JMTGTN	9860	23623	36	67	台山灌田3	台山灌田3	112.76703	22.33503	250	0	3	0				14	2
GZS06V	JMSM1B2	JMTGYI1	JMTGYI	9860	20201	58	77	台山公益1	台山公益1	112.767778	22.434722	75	0	5	0				89	12
GZS06V	JMSM1B2	JMTGYI2	JMTGYI	9860	20202	46	55	台山公益2	台山公益2	112.767778	22.434722	190	0	9	0				40	6
GZS06V	JMSM1B2	JMTGYI3	JMTGYI	9860	20203	37	52	台山公益3	台山公益3	112.767778	22.434722	340	0	7	0				26	4
GZS06V	JMSM1B2	JMTGYI8	JMTGYI	9860	20208	40	13	台山公益8	台山公益8	112.76525	22.440583	270	0	7	0				21	3
GZS06V	JMSM1B2	JMTGYX1	JMTGYX	9860	20211	53	67	台山公益旧圩1	台山公益旧圩1	112.76525	22.440583	90	0	6	0				54	8
GZS06V	JMSM1B2	JMTGYX2	JMTGYX	9860	20212	55	31	台山公益旧圩2	台山公益旧圩2	112.76525	22.440583	170	0	8	0				19	3
GZS06V	JMSM1B2	JMTGYX3	JMTGYX	9860	20213	51	75	台山公益旧圩3	台山公益旧圩3	112.76525	22.440583	270	0	6	0				34	5
GZS06V	JMSM1B2	JMTGYY1	JMTGYY	9860	26021	34	62	台山城北工业园1	台山城北工业园1	112.794444	22.297222	60	0	5	0				26	4
GZS06V	JMSM1B2	JMTGYY2	JMTGYY	9860	26022	32	33	台山城北工业园2	台山城北工业园2	112.794444	22.297222	160	0	6	0				21	3
GZS06V	JMSM1B2	JMTGYY3	JMTGYY	9860	26023	48	51	台山城北工业园3	台山城北工业园3	112.794444	22.297222	270	0	8	0				37	5
GZS06V	JMSM1B2	JMTHLG1	JMTHLG	9860	20031	35	64	台山红岭1	台山红岭1	112.815	22.14721	20	0	6	0				56	8
GZS06V	JMSM1B2	JMTHLG2	JMTHLG	9860	20032	47	54	台山红岭2	台山红岭2	112.815	22.14721	130	0	6	0				29	4
GZS06V	JMSM1B2	JMTHLG3	JMTHLG	9860	20033	37	53	台山红岭3	台山红岭3	112.815	22.14721	270	0	6	0				27	4
GZS06V	JMSM1B2	JMTJGG1	JMTJGG	9860	20221	56	17	台山井岗1	台山井岗1	112.828056	22.328056	60	0	1	0				59	8
GZS06V	JMSM1B2	JMTJGG2	JMTJGG	9860	20222	45	52	台山井岗2	台山井岗2	112.828056	22.328056	200	0	2	0				14	2
GZS06V	JMSM1B2	JMTJGG3	JMTJGG	9860	20223	51	72	台山井岗3	台山井岗3	112.828056	22.328056	350	0	8	0				45	6
